# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 2000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Cellular Component	GO:0035098	ESC/E(Z) complex	64	4.206076e-4	6.868522e-1	1.073207e-2	2.947824e+0	4.749267e+0	14	1.662326e-3	4.900245e-3	222	8.595822e-2	1.000000e+0	6.322963e-1	1.867417e+0	3.212994e+0	6	18	1.571092e-3	3.333333e-1	31481,35314,52801,52802,52803,52807,52809,60153,67396,67439,67440,68012,68013,68014	Aebp2,Epop,Ezh2,H2afy,H2afy2,Jarid2
GO Cellular Component	GO:0022625	cytosolic large ribosomal subunit	65	4.390146e-4	7.169108e-1	1.102940e-2	2.076234e+0	1.300432e+1	27	4.551739e-3	9.450473e-3	291	1.451007e-1	1.000000e+0	8.142593e-1	1.292827e+0	1.392297e+1	18	78	4.713276e-3	2.307692e-1	802,805,806,809,813,8078,12490,17933,28144,44385,47185,47758,47769,48398,49580,50337,50346,50350,57928,57931,59429,60205,74266,76044,76320,76321,84068	Gemin5,Gm10073,Gm14214,Gm16519,Rpl10-ps3,Rpl12,Rpl14,Rpl19,Rpl29,Rpl3,Rpl31,Rpl34,Rpl8,Rpl9-ps1,Rplp0,Rplp1,Rsl24d1,Zfp622
GO Cellular Component	GO:0042272	nuclear RNA export factor complex	66	4.403713e-4	7.191263e-1	1.089585e-2	6.352513e+0	9.445080e-1	6	3.305943e-4	2.100105e-3	661	4.456168e-1	1.000000e+0	1.000000e+0	1.867417e+0	5.354989e-1	1	3	2.618487e-4	3.333333e-1	67473,67475,67477,67478,67483,67484	Atxn1
GO Cellular Component	GO:1990907	beta-catenin-TCF complex	67	4.820370e-4	7.871664e-1	1.174875e-2	3.229825e+0	3.715371e+0	12	1.300445e-3	4.200210e-3	81	4.346136e-3	1.000000e+0	8.762025e-2	4.481802e+0	8.924982e-1	4	5	1.047395e-3	8.000000e-1	16639,17933,50346,50350,50362,50366,90619,90620,90630,90641,90655,90658	Bcl9,Ctnnb1,Lef1,Tcf7l2
GO Cellular Component	GO:0030314	junctional membrane complex	68	5.149528e-4	8.409179e-1	1.236644e-2	4.033611e+0	2.231251e+0	9	7.809770e-4	3.150158e-3	73	2.755016e-3	1.000000e+0	6.162933e-2	4.001608e+0	1.249498e+0	5	7	1.309243e-3	7.142857e-1	295,12868,12870,12871,16877,45189,71776,71778,71782	Casq2,Jph1,Jph2,Jph3,Jph4
GO Cellular Component	GO:0099503	secretory vesicle	69	5.170176e-4	8.442897e-1	1.223608e-2	1.329804e+0	1.067827e+2	142	3.737581e-2	4.970249e-2	289	1.441142e-1	1.000000e+0	8.143200e-1	1.108779e+0	8.567983e+1	95	480	2.487562e-2	1.979167e-1	651,2072,2346,3271,3753,3762,4489,7331,7610,11395,11474,11884,14550,15744,16937,16938,17170,17176,19967,21622,23488,23527,26637,26640,26650,26656,26667,26668,28002,28147,29133,29451,29550,30271,30807,30814,31003,31592,32790,34614,34619,34621,34638,35109,36398,36840,37288,41122,42793,45398,45400,45492,46225,47111,47348,48106,48111,48606,48616,48952,50404,50407,56359,57665,57667,57672,57673,57675,57864,58272,58914,58919,58920,58935,59917,59920,59924,60355,60360,61738,61746,61964,61965,62722,63504,63977,64285,64291,64927,64928,65527,65690,65693,65714,65719,66286,67288,67295,67301,67439,67440,69096,69147,69148,69324,69374,69409,71843,71844,71848,71856,72538,72553,72555,72559,72563,72566,73430,75723,75745,76331,76891,78310,81222,83104,83113,83124,83138,84900,85977,86342,87039,88707,88970,89030,89032,89033,90468,90619,90620,90630,91259	Abcc4,Actn1,Akap3,Amph,Atp6v1e2,Atp8b5,Avp,Baiap2,Cadm1,Calcr,Capn11,Cartpt,Cdc42,Cep131,Chga,Cma1,Col1a1,Cpe,Crhbp,Ctnna1,Ctsh,Dbh,Ddc,Disc1,Dmxl2,Doc2b,Dtnbp1,Ece1,Edn1,Enkur,Fndc3a,Fstl4,Gria1,Gria2,Grin2b,Gzmb,Hap1,Hilpda,Il1b,Ins1,Kcnk9,Kit,Krtdap,Lrguk,Lyzl4,Nppc,Nudt1,Pcsk2,Pcsk5,Pde4b,Pomc,Ptprn2,Rab11fip5,Rab35,Rab3d,Rab4a,Rab8b,Rcbtb2,Rph3al,Sema4c,Sept5,Sept6,Serpine2,Skil,Slc17a5,Slc30a5,Slc6a17,Spaca4,Spink14,Spink5,Stk31,Stx1a,Stx6,Sun1,Sv2c,Svop,Syngr1,Sypl,Syt10,Syt2,Syt6,Syt7,Syt8,Sytl3,Tekt3,Tex101,Tex22,Tmed10,Tmem163,Trim9,Vegfa,Vps13a,Vti1a,Vwf,Wdr7
GO Cellular Component	GO:0000177	cytoplasmic exosome (RNase complex)	70	5.562667e-4	9.083835e-1	1.297691e-2	6.072830e+0	9.880072e-1	6	3.458198e-4	2.100105e-3	187	6.593892e-2	1.000000e+0	5.758196e-1	2.154712e+0	2.320495e+0	5	13	1.309243e-3	3.846154e-1	14639,20102,47920,75988,76279,76280	Dis3l,Exosc3,Exosc4,Exosc9,Gtpbp1
GO Cellular Component	GO:0043194	axon initial segment	71	5.649402e-4	9.225473e-1	1.299362e-2	3.000662e+0	4.332377e+0	13	1.516408e-3	4.550228e-3	265	1.168284e-1	1.000000e+0	7.199275e-1	2.037183e+0	1.963496e+0	4	11	1.047395e-3	3.636364e-1	3599,3603,3605,3809,3810,3811,3814,3816,50394,50404,50407,85849,85851	Bin1,Cck,Nav1,Nfasc
GO Cellular Component	GO:0031105	septin complex	72	5.861532e-4	9.571882e-1	1.329428e-2	6.011629e+0	9.980656e-1	6	3.493404e-4	2.100105e-3	253	1.130847e-1	1.000000e+0	7.299103e-1	2.400965e+0	1.249498e+0	3	7	7.855460e-4	4.285714e-1	59636,61477,61478,61482,61507,91259	Sept4,Sept6,Sept9
GO Cellular Component	GO:0036464	cytoplasmic ribonucleoprotein granule	73	5.902687e-4	9.639088e-1	1.320423e-2	1.624846e+0	3.261848e+1	53	1.141704e-2	1.855093e-2	127	2.888032e-2	1.000000e+0	3.713509e-1	1.323609e+0	3.248694e+1	43	182	1.125949e-2	2.362637e-1	2308,5094,5705,10437,10892,13199,13200,16291,19798,19801,20130,20142,20143,22599,23177,23179,23488,28144,29749,29752,29974,38375,38436,38458,42160,44176,46000,46617,48952,50720,57907,57909,57921,57922,57928,57931,59035,60023,61714,62077,62193,63977,66005,69945,71015,72458,73767,74606,75780,77283,82990,86362,90343	3110043O21Rik,Ago2,Caprin1,Cdc42,Cnot1,Cnot8,Cpeb1,Ctsh,Dcp1a,Dcp2,Dcps,Ddx1,Ddx4,Exd1,Ghr,Hax1,Hnrnpu,Igf2bp1,Ina,Larp1,Larp4b,Lin28a,Mael,Mex3b,Ncl,Nufip2,Pabpc1,Pan3,Piwil2,Piwil4,Pum2,Rac1,Rbpms,Rplp0,Rptor,Shb,Stau1,Syne1,Tdrd6,Tdrd7,Tuba1a,Zc3h12a,Zfp36l1
GO Cellular Component	GO:0090575	RNA polymerase II transcription factor complex	74	6.086795e-4	9.939736e-1	1.343208e-2	1.622574e+0	3.266414e+1	53	1.143302e-2	1.855093e-2	141	3.269748e-2	1.000000e+0	3.786878e-1	1.369439e+0	2.409745e+1	33	135	8.641005e-3	2.444444e-1	1616,3864,3925,3934,3936,5082,5193,5705,6872,13091,13099,13291,13301,16639,17933,25441,33979,39663,47275,48315,50346,50350,50362,50366,51518,57576,57907,57909,60416,63657,63658,63659,63795,63831,64291,64311,72138,77684,78056,83019,83033,83048,83246,85554,85849,87620,87626,90619,90620,90630,90641,90655,90658	Ascl5,Bcl9,Cebpb,Creb1,Crebbp,Ctnnb1,Ercc3,Ercc4,Fos,Gata4,Hand1,Hif1a,Hnrnpab,Hnrnpu,Lef1,Max,Mxd4,Ncoa3,Nr5a2,Pbx1,Pou2af1,Pou2f1,Pparg,Smad2,Stat3,Supt3,Taf3,Taf4b,Taf8,Tbpl1,Tcf12,Tcf7l2,Tead1
GO Cellular Component	GO:0030666	endocytic vesicle membrane	75	6.419431e-4	1.000000e+0	1.397724e-2	2.088871e+0	1.196819e+1	25	4.189076e-3	8.750438e-3	156	4.077116e-2	1.000000e+0	4.267904e-1	1.536101e+0	1.106698e+1	17	62	4.451427e-3	2.741935e-1	7759,7761,11023,15841,15847,21622,21932,26257,29161,30837,41538,41544,41546,46185,47335,48106,48111,58159,58160,82847,83484,83509,88707,91342,91343	B2m,Dnm2,Epn2,Eps15,H2-T3,Hip1,Ocrl,Rab20,Rab39,Rab8b,Rapgef1,Sgip1,Smo,Syt7,Tbc1d5,Tlr1,Tlr2
GO Cellular Component	GO:0031674	I band	76	6.913174e-4	1.000000e+0	1.485423e-2	1.550094e+0	3.999757e+1	62	1.399985e-2	2.170109e-2	21	6.767840e-6	1.105188e-2	5.262801e-4	1.867417e+0	2.516845e+1	47	141	1.230689e-2	3.333333e-1	295,643,2628,2647,3677,3680,3715,3762,5233,8706,12235,12868,12870,12871,16877,18164,21622,22777,27898,27900,28237,29192,29197,32919,33807,33808,37421,37710,37834,40836,48302,50272,50346,50350,50362,50366,54191,60227,60360,63731,63977,66095,69004,70234,70235,70891,72307,75184,75188,76624,76630,77435,84068,84092,85756,85757,85849,85851,86832,86833,89251,90015	Actn1,Actn2,Adra1a,Ankrd2,Ankrd23,Atp2b4,Bin1,Bmp10,Casq2,Cav3,Csrp3,Ctnnb1,Fbxo32,Fhod3,Fkbp1a,Flnb,Gcom1,Glrx3,Hdac4,Homer1,Hspb1,Jph1,Jph2,Jup,Mybpc1,Mybph,Myl12b,Myo18b,Myom1,Myoz3,Neb,Nos1,Nos1ap,Parvb,Pde4b,Pgm5,Ppp1r12b,Ppp3ca,Scn5a,Scn8a,Slmap,Sync,Syne2,Synm,Synpo,Tcap,Tjp1
GO Cellular Component	GO:0035770	ribonucleoprotein granule	77	7.285688e-4	1.000000e+0	1.545134e-2	1.601356e+0	3.372142e+1	54	1.180309e-2	1.890095e-2	166	4.690375e-2	1.000000e+0	4.614086e-1	1.277197e+0	3.445043e+1	44	193	1.152134e-2	2.279793e-1	2308,5094,5705,10437,10892,11474,13199,13200,16291,19798,19801,20130,20142,20143,22599,23177,23179,23488,28144,29749,29752,29974,38375,38436,38458,42160,44176,46000,46617,48952,50720,57907,57909,57921,57922,57928,57931,59035,60023,61714,62077,62193,63977,66005,69945,71015,72458,73767,74606,75780,77283,82990,86362,90343	3110043O21Rik,Ago2,Caprin1,Cdc42,Cnot1,Cnot8,Cpeb1,Ctsh,Dcp1a,Dcp2,Dcps,Ddx1,Ddx4,Exd1,Fastkd5,Ghr,Hax1,Hnrnpu,Igf2bp1,Ina,Larp1,Larp4b,Lin28a,Mael,Mex3b,Ncl,Nufip2,Pabpc1,Pan3,Piwil2,Piwil4,Pum2,Rac1,Rbpms,Rplp0,Rptor,Shb,Stau1,Syne1,Tdrd6,Tdrd7,Tuba1a,Zc3h12a,Zfp36l1
GO Cellular Component	GO:0005777	peroxisome	78	7.501479e-4	1.000000e+0	1.570502e-2	1.670962e+0	2.752905e+1	46	9.635650e-3	1.610081e-2	142	3.332902e-2	1.000000e+0	3.832837e-1	1.360547e+0	2.498995e+1	34	140	8.902854e-3	2.428571e-1	7059,9593,9596,11187,11280,11286,17565,17571,17572,18581,20678,23575,24073,24741,28002,34324,38249,39703,39721,43778,44176,47549,48106,48111,50245,57739,57775,58149,58272,59054,69161,71787,72765,72777,72782,72787,72788,72853,76414,76416,76417,76554,88037,88707,89762,90279	Abcd3,Acaa1b,Acoxl,Acsl6,Agps,Akap11,Aldh3a2,Ccdc33,Cnot1,Crot,Dao,Dhrs4,Far1,Gbf1,Hmgcr,Hsdl2,Ide,Idh2,Lacc1,Lonp2,Mul1,Pex14,Pex26,Pipox,Pmp22,Rab8b,Serhl,Slc22a21,Slc25a17,Slc27a2,Syt7,Uox,Vim,Zadh2
GO Cellular Component	GO:1990234	transferase complex	79	8.309835e-4	1.000000e+0	1.717717e-2	1.255379e+0	1.569247e+2	197	5.492640e-2	6.895345e-2	641	4.317889e-1	1.000000e+0	1.000000e+0	1.015952e+0	1.378017e+2	140	772	3.665881e-2	1.813472e-1	1926,2110,3286,3618,3622,3657,4729,4734,5586,5589,6872,7644,7759,7761,8033,8580,10402,11440,12553,12589,12972,13865,13962,14612,14621,15963,19341,19608,19798,19801,21208,21547,23658,23659,23661,24322,24672,25124,25151,26966,26976,27350,27757,29436,29440,31481,32516,33023,33047,33322,33330,33340,33823,33853,34192,34193,34200,34674,35314,35653,36664,37011,38068,38153,38952,38954,38961,38998,39601,40379,41284,41289,41311,43775,44575,48033,48034,48302,48363,48539,48674,49361,50081,51223,51343,51518,51919,52238,52801,52802,52803,52807,52809,53129,53587,54036,54366,55322,55326,55356,55379,55705,57031,58828,59132,60153,60220,60263,60695,60860,61644,62527,62652,62665,62788,63199,63207,63208,63795,63831,64147,64539,67396,67439,67440,67549,67557,68012,68013,68014,68047,68048,69185,69188,69208,69218,69374,69409,70550,70693,71168,71349,71671,71673,71681,71717,73023,73036,74562,75035,75184,75188,76138,76139,76145,77235,77271,77452,77684,78056,79460,82210,82217,82286,82287,82288,82333,82334,82339,82341,82344,82404,83019,83033,83048,83246,83484,83509,84990,85554,85849,85952,87818,87828,87838,88066,89865,90034,90035,90036,90038,90039,90043,90205,90206,90222,91963	3110043O21Rik,Abtb1,Abtb2,Acvr1b,Aebp2,Atg3,Atg5,Bach2,Btbd9,Btrc,C77370,Cacybp,Cand1,Cbx2,Cbx8,Ccnd1,Ccnd2,Ccne2,Ccnt2,Cdc23,Cdc27,Cdk1,Cdk12,Cdk14,Cdkn1a,Chml,Crebbp,Ctdp1,Ctr9,Cul3,Dad1,Dcaf4,Dcun1d1,Det1,Dpm2,Dydc1,Dyrk2,Enc1,Epc2,Epop,Erc1,Ercc3,Ercc4,Ezh2,Fam58b,Fbxl21,Fbxo11,Fbxo15,Fbxo27,Fbxo32,Fbxw11,Fbxw7,Fntb,Gcom1,Gm4922,Golga7b,H2afy,H2afy2,Hdac9,Insr,Jarid2,Kansl1,Kansl2,Kat6b,Kbtbd12,Kbtbd8,Kctd17,Klhdc7a,Klhl1,Klhl21,Klhl25,Klhl31,Klhl35,Klhl38,Klhl9,Kmt2c,Map3k5,Mat2a,Max,Med21,Med24,Med27,Med30,Mrgbp,Msl2,Myo6,Nedd4,Ogdhl,Os9,Phf20,Phkb,Pik3c2b,Pik3cg,Pik3r1,Pole,Polr2e,Polr2m,Polr3b,Polr3k,Prkag1,Prkag2,Prkag3,Prkar1b,Prkar2b,Prmt5,Rad18,Rchy1,Rev3l,Rnf144a,Rnf144b,Rnf19a,Rnf8,Sel1l,Setd5,Smg6,Smurf2,Snrpb,Snrpe,Snrpf,Sorbs1,Sptssa,Stt3b,Supt3,Taf3,Taf4b,Taf8,Tbc1d5,Tbpl1,Trpc4ap,Ube2c,Ube2e1,Ube2u,Uri1,Uvrag,Vac14,Wdfy3,Wdr4,Wdr5,Zfp609,Zfp768
GO Cellular Component	GO:0045121	membrane raft	80	8.382837e-4	1.000000e+0	1.711147e-2	1.356100e+0	8.553940e+1	116	2.994029e-2	4.060203e-2	29	7.630733e-5	1.246099e-1	4.296892e-3	1.491509e+0	5.497789e+1	82	308	2.147159e-2	2.662338e-1	656,657,2664,3925,3934,3936,3955,5233,6008,8624,11256,11264,11571,13865,15347,15841,15847,16574,16837,16850,17159,19740,21855,21859,21860,22959,22961,23104,23821,23834,24741,26257,26650,26656,26667,26668,26682,28237,28807,28814,28821,29616,29626,30837,32811,33807,33808,34143,34575,34995,35006,36398,38282,38986,39995,41122,41174,41182,41185,41186,41311,42035,42340,43123,44107,46900,47247,48188,48191,49874,49875,50011,50088,50272,50346,50350,50362,50366,51912,52159,52746,54686,55379,57199,58847,60860,62395,62652,67930,70658,70779,71238,71239,72307,74737,76537,76539,76544,76548,76554,77283,78262,81222,82303,82306,82313,83388,83776,83778,85461,85977,89804,89819,89820,89865,91839	Abcb4,Adam17,Add2,Adgrg1,Adra1a,Adra1b,Anxa2,Atp1a1,Atp2b1,Baalc,Bmpr1a,Bst2,Capn2,Card11,Cav3,Cd24a,Cmtm8,Cnr1,Ctnna1,Ctnnb1,Ctsd,Dlc1,Efhd2,Efna5,Efnb1,Erlin2,Ezr,Fcgr1,Furin,Fyn,Gpc1,Gprc5b,Grip1,Insr,Kcnma1,Kcnq1,Kdr,Lamtor5,Lrp6,Lrp8,Lypd6,Mal,Mall,Mdga1,Myof,Nfam1,Nos1,Nos1ap,Npc1,Ntsr1,Oprd1,Plvap,Ppp2r1b,Prkar2b,Prnp,Prom2,Ptprc,Rap2b,Ret,Rftn1,Rtn4r,Rtn4rl1,Scarb1,Scn5a,Serpinh1,Slc9a1,Smo,Smurf2,Sorbs1,Tdgf1,Tex101,Tgfbr2,Thy1,Tlr1,Tlr2,Tnfrsf1a,Tuba1a,Tuba1b,Unc5a,Unc5b,Vcl,Zap70
GO Cellular Component	GO:0030670	phagocytic vesicle membrane	81	8.599536e-4	1.000000e+0	1.733709e-2	2.449551e+0	6.940048e+0	17	2.429138e-3	5.950298e-3	387	2.061628e-1	1.000000e+0	8.699324e-1	1.311165e+0	8.389484e+0	11	47	2.880335e-3	2.340426e-1	7759,7761,11023,15841,15847,26257,41538,41544,41546,46185,47335,48106,48111,82847,88707,91342,91343	B2m,Dnm2,H2-T3,Ocrl,Rab20,Rab39,Rab8b,Rapgef1,Syt7,Tlr1,Tlr2
GO Cellular Component	GO:0016222	procollagen-proline 4-dioxygenase complex	82	8.716745e-4	1.000000e+0	1.735908e-2	9.685425e+0	4.129917e-1	4	1.445543e-4	1.400070e-3	661	4.456168e-1	1.000000e+0	1.000000e+0	1.867417e+0	5.354989e-1	1	3	2.618487e-4	3.333333e-1	57752,57753,57760,57766	P4ha2
GO Cellular Component	GO:0034993	LINC complex	83	8.735148e-4	1.000000e+0	1.718614e-2	4.710743e+0	1.485965e+0	7	5.201138e-4	2.450123e-3	91	6.266048e-3	1.000000e+0	1.124446e-1	3.501407e+0	1.427997e+0	5	8	1.309243e-3	6.250000e-1	29451,50720,63731,65066,65067,76279,76280	Sun1,Sun2,Syne1,Syne2,Syne3
GO Cellular Component	GO:0097136	Bcl-2 family protein complex	84	8.888007e-4	1.000000e+0	1.727871e-2	5.542919e+0	1.082462e+0	6	3.788807e-4	2.100105e-3	579	3.634640e-1	1.000000e+0	1.000000e+0	1.600643e+0	1.249498e+0	2	7	5.236973e-4	2.857143e-1	11280,11286,11310,11313,81999,82004	Bak1,Bcl2l11
GO Cellular Component	GO:0000235	astral microtubule	85	8.904491e-4	1.000000e+0	1.710710e-2	5.540902e+0	1.082856e+0	6	3.790186e-4	2.100105e-3	199	7.423652e-2	1.000000e+0	6.091871e-1	2.801126e+0	1.070998e+0	3	6	7.855460e-4	5.000000e-1	39202,45398,45400,58804,58805,58806	Ccsap,Numa1,Pafah1b1
GO Cellular Component	GO:0032154	cleavage furrow	86	9.806781e-4	1.000000e+0	1.862148e-2	2.182662e+0	9.621277e+0	21	3.367615e-3	7.350368e-3	250	1.097594e-1	1.000000e+0	7.169484e-1	1.428025e+0	9.103482e+0	13	51	3.404032e-3	2.549020e-1	7931,18387,28506,34590,47402,59208,59209,59213,59220,62055,62060,76093,76095,76201,79121,85220,86055,86058,86060,86062,91259	Hmcn2,Myh9,Mylk,Pkn2,Plekhg6,Ppp1cc,Psd2,Pstpip1,Rab11fip4,Rhob,Sept6,Sh3bp1,Svil
GO Cellular Component	GO:0000775	chromosome, centromeric region	87	1.056118e-3	1.000000e+0	1.982346e-2	1.522417e+0	4.072472e+1	62	1.425437e-2	2.170109e-2	154	4.027204e-2	1.000000e+0	4.270405e-1	1.290571e+0	3.409343e+1	44	191	1.152134e-2	2.303665e-1	3037,5193,5705,5994,7827,10803,12644,13291,13301,20948,22230,22574,28506,28680,29522,29527,29540,32161,32673,33908,33911,38952,38954,38961,40781,40786,40790,40791,42160,42172,42255,43528,46126,46217,56701,56708,56924,56932,57627,57775,58471,58804,58805,58806,60695,61940,61985,65054,65063,65283,65285,67214,68012,68013,68014,71070,71460,71766,76508,77684,87249,91259	Aurkb,Bod1,Bub1b,Cdca8,Cebpb,Cenpm,Cenpo,Clasp1,Crebbp,Dctn1,Dctn6,Dicer1,Dnmt1,Dnmt3a,Dsn1,Fbxo28,H2afy,Hnrnpu,Kansl1,Kdm4a,Kdm4c,Kntc1,Mad1l1,Mad2l1,Meikin,Mki67,Ngdn,Nuf2,Pafah1b1,Pbrm1,Ppp1cc,Ppp2ca,Ppp2r5c,Sec13,Seh1l,Sept6,Spc24,Spout1,Sycp2l,Tnks,Uvrag,Wdhd1,Xpo1,Zfp330
GO Cellular Component	GO:0016607	nuclear speck	88	1.102413e-3	1.000000e+0	2.045728e-2	1.348874e+0	8.451493e+1	114	2.958170e-2	3.990200e-2	263	1.142578e-1	1.000000e+0	7.094410e-1	1.141763e+0	6.568787e+1	75	368	1.963865e-2	2.038043e-1	1272,3070,5705,6112,6115,6118,6120,6126,6663,8363,8367,8753,8788,10051,11733,12023,14504,14963,14964,14966,14967,14970,19860,21859,21860,22482,23294,23295,23315,23552,23849,23857,26966,26976,28506,28590,28593,28719,29660,29986,32187,33999,37247,38492,38496,38498,39043,39601,40640,43528,43608,45902,45985,47050,47051,47155,47156,48315,51351,51463,53790,57546,60040,60220,60860,61644,62679,63657,63658,63659,64633,65690,66180,66529,66543,67060,67103,68000,68750,69498,69507,70036,70785,70789,70790,70799,70800,70804,70806,70814,71089,74219,76331,77408,77934,80132,81247,81250,81251,81502,82170,82174,82210,82217,83050,83067,83073,86217,86241,87818,87828,87838,89836,91236	Afdn,Akap17b,Ap5z1,Arl6ip4,Basp1,Bclaf1,Cactin,Carmil1,Cbx2,Cdc5l,Cdk12,Cep164,Crnkl1,Ctdp1,Ctr9,Cwc15,Dazap2,Ddx39,Ddx46,Dgkz,Dusp10,Erbin,Fndc1,Gadd45a,Gli2,Gli3,Hif1a,Hnrnpu,Hoxb2,Hp1bp3,Hspb3,Il15,Il16,Kazn,Lhpp,Magoh,Maml2,Maml3,Mapk14,Mecom,Mef2c,Nampt,Ncapg2,Nek6,Noc3l,Nr3c1,Nr4a2,Nrip1,Phf7,Plcb1,Pomp,Ppie,Ppp1cc,Prpf18,Prpf40a,Raf1,Rchy1,Rmi2,Rnf169,Rnf34,Rreb1,Rufy1,Sf3b1,Sgk1,Smu1,Smurf2,Snrnp70,Srek1,Srsf3,Syf2,Tab1,Tcf12,Zbtb16,Zc3h14,Zmiz1
GO Cellular Component	GO:0030018	Z disc	89	1.103264e-3	1.000000e+0	2.024303e-2	1.543624e+0	3.757391e+1	58	1.315153e-2	2.030102e-2	20	6.676475e-6	1.090268e-2	5.451342e-4	1.927175e+0	2.231246e+1	43	125	1.125949e-2	3.440000e-1	295,2628,2647,3677,3680,3715,3762,5233,8706,12235,12868,12870,12871,16877,18164,21622,22777,27898,27900,28237,29192,29197,32919,33807,33808,37421,37834,40836,50272,50346,50350,50362,50366,54191,60227,60360,63731,63977,66095,69004,70234,70235,70891,72307,75184,75188,76624,76630,77435,84068,84092,85756,85757,85849,85851,86832,86833,89251	Actn1,Actn2,Adra1a,Atp2b4,Bin1,Bmp10,Casq2,Cav3,Csrp3,Ctnnb1,Fbxo32,Fhod3,Fkbp1a,Flnb,Glrx3,Hdac4,Homer1,Hspb1,Jph1,Jph2,Jup,Mybpc1,Mybph,Myl12b,Myo18b,Myom1,Myoz3,Neb,Nos1,Nos1ap,Parvb,Pde4b,Pgm5,Ppp1r12b,Ppp3ca,Scn5a,Scn8a,Slmap,Sync,Syne2,Synm,Synpo,Tcap
GO Cellular Component	GO:0005912	adherens junction	90	1.119018e-3	1.000000e+0	2.030396e-2	1.259616e+0	1.444885e+2	182	5.057350e-2	6.370319e-2	8	1.580674e-7	2.581241e-4	3.226551e-5	1.514724e+0	8.978532e+1	136	503	3.561142e-2	2.703777e-1	802,805,806,809,813,3037,3180,3599,3603,3605,3925,3934,3936,3955,6008,6663,7059,7968,7972,8078,8215,8646,8649,8650,8658,8662,9372,9723,11023,11685,11860,12558,12717,15982,15984,21183,21187,23104,23488,24383,24741,25340,25344,25345,25360,25547,25562,26794,27378,27383,28043,28144,28506,29192,29197,29597,29749,29752,29772,29974,32584,33388,33808,34590,34724,34725,34729,34731,34734,36299,37247,37710,37834,38375,38998,39003,39735,39737,39844,39846,39855,40986,41158,41233,42340,44147,44202,44385,45679,46185,46900,47111,47215,47415,48188,48191,48222,50346,50350,50362,50366,51379,51389,51405,51409,53552,53555,53790,55759,56262,56268,56523,58030,58914,59008,60205,60360,60744,61391,61738,61764,61769,62055,62060,62395,63731,63977,64162,66095,70234,70235,70658,70779,71193,71709,71712,72448,73144,73150,74606,75106,75128,75780,75785,75839,76044,76093,76095,76155,76191,76201,76217,76320,76321,76624,76630,76639,76642,77408,78231,79009,79075,79346,81222,81502,82070,82072,82803,83193,83776,83778,85220,85977,86217,86241,87548,89251,89865,90662,91562,91833,91834	Abcb4,Actg1,Actn1,Actn2,Actr2,Actr3,Adam17,Adgrb1,Afap1,Afdn,Ahi1,Aif1l,Ajap1,Anxa2,Arhgap22,Arhgap24,Arhgap26,B2m,Baiap2,Cadm1,Capn2,Cd81,Cd9,Cdc42,Cdc42ep1,Cdh3,Cdh5,Clasp1,Ctnna1,Ctnna2,Ctnnb1,Cttn,Cyth3,Dixdc1,Dlc1,Dlg5,Dnm2,Efna5,Epha5,Ezr,Fam129b,Fermt1,Flnb,Flrt3,Flt1,Focad,Frmd4a,Frmd4b,Gna12,Gsn,Hspa9,Hspb1,Itga4,Itga6,Itgb5,Jup,Kifc3,Lin7b,Lmln,Lmo7,Lrp1,Mdc1,Misp,Mmp14,Mprip,Mrc2,Myh9,Myo1e,Nectin2,Nfasc,Nrap,Numb,Nup214,Oxtr,Pabpc1,Pard3,Parvb,Parvg,Pdlim1,Peak1,Pgm5,Pip5k1c,Pkp3,Plekha7,Ppp1cb,Ppp1cc,Procr,Ptk2,Ptk7,Ptprc,Pxn,Rac1,Rac2,Rhob,Rnd3,Rpl12,Rpl19,Rpl3,Rpl31,Rpl8,Rplp0,Rps10,Rps17,Rps3,Rps3a1,Rras2,Scarf2,Sh3bp1,Slc9a1,Smad7,Smagp,Sntb1,Sorbs1,Sorbs3,Srp68,Ssh2,Stard8,Svil,Syne2,Synm,Tgm2,Thy1,Tigit,Tjp1,Tns3,Triobp,Trpv4,Tspan9,Vcl,Vim,Yes1,Ywhae,Ywhag,Ywhaq,Ywhaz,Zfp185
