seqnames	start	end	width	strand	bias
93	chr1	9989928	9990427	500	*	0.46
94	chr1	9991678	9992177	500	*	0.494
95	chr1	9997554	9998053	500	*	0.514
96	chr1	10003192	10003691	500	*	0.432
97	chr1	10007156	10007655	500	*	0.406
98	chr1	10037802	10038301	500	*	0.578
99	chr1	10039714	10040213	500	*	0.746
100	chr1	10054186	10054685	500	*	0.468
101	chr1	10089347	10089846	500	*	0.416
102	chr1	10096219	10096718	500	*	0.398
103	chr1	10109096	10109595	500	*	0.402
104	chr1	10210946	10211445	500	*	0.484
105	chr1	10232861	10233360	500	*	0.742
106	chr1	10252043	10252542	500	*	0.372
107	chr1	10257377	10257876	500	*	0.42
108	chr1	10261281	10261780	500	*	0.47
109	chr1	10280247	10280746	500	*	0.438
110	chr1	10325529	10326028	500	*	0.46
111	chr1	10331604	10332103	500	*	0.396
112	chr1	10348319	10348818	500	*	0.51
113	chr1	10488162	10488661	500	*	0.452
114	chr1	10699906	10700405	500	*	0.406
115	chr1	10759615	10760114	500	*	0.446
116	chr1	10835606	10836105	500	*	0.376
117	chr1	10846805	10847304	500	*	0.384
118	chr1	10877387	10877886	500	*	0.474
119	chr1	10880097	10880596	500	*	0.49
120	chr1	10919395	10919894	500	*	0.37
121	chr1	10943106	10943605	500	*	0.432
122	chr1	10993437	10993936	500	*	0.698
123	chr1	11001435	11001934	500	*	0.482
124	chr1	11011704	11012203	500	*	0.488
125	chr1	11065213	11065712	500	*	0.48
126	chr1	11077955	11078454	500	*	0.468
127	chr1	11080787	11081286	500	*	0.412
128	chr1	11097365	11097864	500	*	0.458
129	chr1	11139811	11140310	500	*	0.39
130	chr1	11147468	11147967	500	*	0.428
131	chr1	11228603	11229102	500	*	0.398
132	chr1	11229352	11229851	500	*	0.446
133	chr1	11329325	11329824	500	*	0.57
134	chr1	11414013	11414512	500	*	0.66
135	chr1	11565362	11565861	500	*	0.358
136	chr1	11570199	11570698	500	*	0.35
137	chr1	11657650	11658149	500	*	0.318
138	chr1	12814887	12815386	500	*	0.466
139	chr1	12843003	12843502	500	*	0.39
140	chr1	12864072	12864571	500	*	0.452
141	chr1	12865110	12865609	500	*	0.574
142	chr1	12875402	12875901	500	*	0.492
143	chr1	12905547	12906046	500	*	0.488
144	chr1	12983120	12983619	500	*	0.422
145	chr1	12990231	12990730	500	*	0.584
146	chr1	12990895	12991394	500	*	0.534
147	chr1	12991515	12992014	500	*	0.528
148	chr1	12992405	12992904	500	*	0.652
149	chr1	13002078	13002577	500	*	0.44
150	chr1	13012535	13013034	500	*	0.426
151	chr1	13029226	13029725	500	*	0.558
152	chr1	13031876	13032375	500	*	0.45
153	chr1	13050131	13050630	500	*	0.46
154	chr1	13052106	13052605	500	*	0.504
155	chr1	13110383	13110882	500	*	0.444
156	chr1	13117749	13118248	500	*	0.46
157	chr1	13134273	13134772	500	*	0.502
158	chr1	13151013	13151512	500	*	0.476
159	chr1	13153062	13153561	500	*	0.496
160	chr1	13154594	13155093	500	*	0.448
161	chr1	13162284	13162783	500	*	0.482
162	chr1	13188288	13188787	500	*	0.46
163	chr1	13203720	13204219	500	*	0.416
164	chr1	13206867	13207366	500	*	0.454
165	chr1	13214542	13215041	500	*	0.488
166	chr1	13256180	13256679	500	*	0.444
167	chr1	13267282	13267781	500	*	0.494
168	chr1	13287980	13288479	500	*	0.454
169	chr1	13288827	13289326	500	*	0.464
170	chr1	13293287	13293786	500	*	0.438
171	chr1	13301490	13301989	500	*	0.496
172	chr1	13311711	13312210	500	*	0.45
173	chr1	13328271	13328770	500	*	0.408
174	chr1	13336051	13336550	500	*	0.432
175	chr1	13355588	13356087	500	*	0.456
176	chr1	13360740	13361239	500	*	0.502
177	chr1	13372428	13372927	500	*	0.68
178	chr1	13374052	13374551	500	*	0.68
179	chr1	13383548	13384047	500	*	0.408
180	chr1	13426544	13427043	500	*	0.542
181	chr1	13454589	13455088	500	*	0.436
182	chr1	13500422	13500921	500	*	0.49
183	chr1	13513760	13514259	500	*	0.596
184	chr1	13531347	13531846	500	*	0.452
185	chr1	13559492	13559991	500	*	0.514
186	chr1	13568631	13569130	500	*	0.528
187	chr1	13572356	13572855	500	*	0.518
188	chr1	13573876	13574375	500	*	0.422
189	chr1	13574737	13575236	500	*	0.486
190	chr1	13575425	13575924	500	*	0.536
191	chr1	13588160	13588659	500	*	0.406
192	chr1	13589646	13590145	500	*	0.642
193	chr1	13593200	13593699	500	*	0.478
194	chr1	13598994	13599493	500	*	0.524
195	chr1	13600356	13600855	500	*	0.498
196	chr1	13601387	13601886	500	*	0.402
197	chr1	13608439	13608938	500	*	0.48
198	chr1	13647725	13648224	500	*	0.522
199	chr1	13649714	13650213	500	*	0.48
200	chr1	13652027	13652526	500	*	0.486
201	chr1	13658867	13659366	500	*	0.408
202	chr1	13660294	13660793	500	*	0.644
203	chr1	13706277	13706776	500	*	0.448
204	chr1	13747311	13747810	500	*	0.546
205	chr1	13771112	13771611	500	*	0.466
206	chr1	13771995	13772494	500	*	0.468
207	chr1	13784298	13784797	500	*	0.354
208	chr1	13787003	13787502	500	*	0.466
209	chr1	13789165	13789664	500	*	0.44
210	chr1	13839966	13840465	500	*	0.462
211	chr1	13851167	13851666	500	*	0.412
212	chr1	13867374	13867873	500	*	0.458
213	chr1	13980223	13980722	500	*	0.476
214	chr1	13984785	13985284	500	*	0.408
215	chr1	13993958	13994457	500	*	0.47
216	chr1	14004663	14005162	500	*	0.436
217	chr1	14064732	14065231	500	*	0.444
218	chr1	14100497	14100996	500	*	0.466
219	chr1	14104503	14105002	500	*	0.382
220	chr1	14105469	14105968	500	*	0.522
221	chr1	14143789	14144288	500	*	0.46
222	chr1	14150580	14151079	500	*	0.418
223	chr1	14161239	14161738	500	*	0.464
224	chr1	14196465	14196964	500	*	0.418
225	chr1	14218597	14219096	500	*	0.484
226	chr1	14232143	14232642	500	*	0.448
227	chr1	14235346	14235845	500	*	0.494
228	chr1	14253788	14254287	500	*	0.42
229	chr1	14264244	14264743	500	*	0.468
230	chr1	14267535	14268034	500	*	0.452
231	chr1	14304521	14305020	500	*	0.482
232	chr1	14309739	14310238	500	*	0.614
233	chr1	14484415	14484914	500	*	0.452
234	chr1	14487737	14488236	500	*	0.426
235	chr1	14495628	14496127	500	*	0.426
236	chr1	14506531	14507030	500	*	0.692
237	chr1	14547315	14547814	500	*	0.41
238	chr1	14576387	14576886	500	*	0.404
239	chr1	14596011	14596510	500	*	0.398
240	chr1	14661804	14662303	500	*	0.362
241	chr1	14680342	14680841	500	*	0.438
242	chr1	14686456	14686955	500	*	0.338
243	chr1	14739990	14740489	500	*	0.504
244	chr1	14755378	14755877	500	*	0.692
245	chr1	14800208	14800707	500	*	0.42
246	chr1	14876614	14877113	500	*	0.396
247	chr1	14918557	14919056	500	*	0.562
248	chr1	14924698	14925197	500	*	0.458
249	chr1	14947959	14948458	500	*	0.39
250	chr1	14980182	14980681	500	*	0.476
251	chr1	14995159	14995658	500	*	0.406
252	chr1	14998059	14998558	500	*	0.406
253	chr1	15007510	15008009	500	*	0.328
254	chr1	15679925	15680424	500	*	0.416
255	chr1	15791717	15792216	500	*	0.416
256	chr1	15805484	15805983	500	*	0.64
257	chr1	15849947	15850446	500	*	0.4
258	chr1	15850674	15851173	500	*	0.428
259	chr1	15883220	15883719	500	*	0.486
260	chr1	15892476	15892975	500	*	0.71
261	chr1	15902322	15902821	500	*	0.45
262	chr1	16060039	16060538	500	*	0.462
263	chr1	16092955	16093454	500	*	0.712
264	chr1	16104068	16104567	500	*	0.53
265	chr1	16104584	16105083	500	*	0.568
266	chr1	16161434	16161933	500	*	0.46
267	chr1	16177630	16178129	500	*	0.52
268	chr1	16228057	16228556	500	*	0.514
269	chr1	16231666	16232165	500	*	0.444
270	chr1	16251180	16251679	500	*	0.498
271	chr1	16260428	16260927	500	*	0.422
272	chr1	16344866	16345365	500	*	0.456
273	chr1	16433439	16433938	500	*	0.378
274	chr1	16440145	16440644	500	*	0.382
275	chr1	16498706	16499205	500	*	0.516
276	chr1	16512879	16513378	500	*	0.5
277	chr1	16518726	16519225	500	*	0.718
278	chr1	16519718	16520217	500	*	0.682
279	chr1	16534034	16534533	500	*	0.552
280	chr1	16540475	16540974	500	*	0.458
281	chr1	16549739	16550238	500	*	0.448
282	chr1	16617777	16618276	500	*	0.398
283	chr1	16619049	16619548	500	*	0.73
284	chr1	16637401	16637900	500	*	0.396
285	chr1	16642064	16642563	500	*	0.432
286	chr1	16656759	16657258	500	*	0.576
287	chr1	16665116	16665615	500	*	0.694
288	chr1	16688275	16688774	500	*	0.462
289	chr1	16745888	16746387	500	*	0.408
290	chr1	16747124	16747623	500	*	0.416
291	chr1	16758825	16759324	500	*	0.486
292	chr1	16781128	16781627	500	*	0.492
293	chr1	16798281	16798780	500	*	0.476
294	chr1	16944287	16944786	500	*	0.422
295	chr1	17033778	17034277	500	*	0.466
296	chr1	17097544	17098043	500	*	0.766
297	chr1	17123372	17123871	500	*	0.468
298	chr1	17145283	17145782	500	*	0.59
299	chr1	17163526	17164025	500	*	0.38
300	chr1	17451268	17451767	500	*	0.398
301	chr1	17606407	17606906	500	*	0.338
302	chr1	17608200	17608699	500	*	0.356
303	chr1	17709087	17709586	500	*	0.376
304	chr1	17718386	17718885	500	*	0.35
305	chr1	17727208	17727707	500	*	0.612
306	chr1	18106107	18106606	500	*	0.37
307	chr1	18271102	18271601	500	*	0.394
308	chr1	18359881	18360380	500	*	0.284
309	chr1	19178967	19179466	500	*	0.388
310	chr1	20259854	20260353	500	*	0.488
311	chr1	20311458	20311957	500	*	0.346
312	chr1	20513496	20513995	500	*	0.39
313	chr1	20554534	20555033	500	*	0.4
314	chr1	20612546	20613045	500	*	0.436
315	chr1	20754365	20754864	500	*	0.452
316	chr1	20801658	20802157	500	*	0.426
317	chr1	20820044	20820543	500	*	0.584
318	chr1	20824954	20825453	500	*	0.38
319	chr1	20890500	20890999	500	*	0.66
320	chr1	20899284	20899783	500	*	0.476
321	chr1	20912357	20912856	500	*	0.52
322	chr1	20926273	20926772	500	*	0.486
323	chr1	20928552	20929051	500	*	0.422
324	chr1	20933356	20933855	500	*	0.446
325	chr1	20938975	20939474	500	*	0.42
326	chr1	20941164	20941663	500	*	0.432
327	chr1	20951353	20951852	500	*	0.634
328	chr1	20973312	20973811	500	*	0.392
329	chr1	20986420	20986919	500	*	0.446
330	chr1	20995293	20995792	500	*	0.512
331	chr1	21004477	21004976	500	*	0.504
332	chr1	21009072	21009571	500	*	0.472
333	chr1	21014468	21014967	500	*	0.54
334	chr1	21029086	21029585	500	*	0.434
335	chr1	21035797	21036296	500	*	0.464
336	chr1	21038175	21038674	500	*	0.436
337	chr1	21040116	21040615	500	*	0.438
338	chr1	21040743	21041242	500	*	0.478
339	chr1	21051965	21052464	500	*	0.512
340	chr1	21068437	21068936	500	*	0.382
341	chr1	21077123	21077622	500	*	0.468
342	chr1	21079052	21079551	500	*	0.732
343	chr1	21089501	21090000	500	*	0.524
344	chr1	21094788	21095287	500	*	0.476
345	chr1	21101163	21101662	500	*	0.486
346	chr1	21161690	21162189	500	*	0.41
347	chr1	21166258	21166757	500	*	0.544
348	chr1	21185850	21186349	500	*	0.484
349	chr1	21192465	21192964	500	*	0.464
350	chr1	21218473	21218972	500	*	0.556
351	chr1	21240177	21240676	500	*	0.414
352	chr1	21271411	21271910	500	*	0.538
353	chr1	21288146	21288645	500	*	0.468
354	chr1	21333359	21333858	500	*	0.458
355	chr1	21335641	21336140	500	*	0.394
356	chr1	21344261	21344760	500	*	0.452
357	chr1	21411292	21411791	500	*	0.466
358	chr1	21419344	21419843	500	*	0.402
359	chr1	21461189	21461688	500	*	0.474
360	chr1	21469276	21469775	500	*	0.434
361	chr1	21531419	21531918	500	*	0.386
362	chr1	21554618	21555117	500	*	0.406
363	chr1	21604052	21604551	500	*	0.36
364	chr1	21618669	21619168	500	*	0.444
365	chr1	21647070	21647569	500	*	0.432
366	chr1	21780951	21781450	500	*	0.424
367	chr1	21829986	21830485	500	*	0.45
368	chr1	21836304	21836803	500	*	0.416
369	chr1	21856353	21856852	500	*	0.376
370	chr1	21883717	21884216	500	*	0.39
371	chr1	21896181	21896680	500	*	0.454
372	chr1	21960977	21961476	500	*	0.686
373	chr1	21963180	21963679	500	*	0.498
374	chr1	22105467	22105966	500	*	0.398
375	chr1	22254190	22254689	500	*	0.452
376	chr1	22269038	22269537	500	*	0.446
377	chr1	22279900	22280399	500	*	0.444
378	chr1	22734370	22734869	500	*	0.39
379	chr1	22805793	22806292	500	*	0.756
380	chr1	23061945	23062444	500	*	0.462
381	chr1	23255903	23256402	500	*	0.718
382	chr1	23282407	23282906	500	*	0.402
383	chr1	23286698	23287197	500	*	0.422
384	chr1	23321130	23321629	500	*	0.528
385	chr1	23334927	23335426	500	*	0.398
386	chr1	23335783	23336282	500	*	0.47
387	chr1	23345603	23346102	500	*	0.42
388	chr1	23379197	23379696	500	*	0.41
389	chr1	23379983	23380482	500	*	0.456
390	chr1	23383086	23383585	500	*	0.742
391	chr1	23397493	23397992	500	*	0.44
392	chr1	23399406	23399905	500	*	0.444
393	chr1	23417433	23417932	500	*	0.46
394	chr1	23418906	23419405	500	*	0.418
395	chr1	23426312	23426811	500	*	0.514
396	chr1	23433562	23434061	500	*	0.368
397	chr1	23495366	23495865	500	*	0.432
398	chr1	23532003	23532502	500	*	0.374
399	chr1	23555740	23556239	500	*	0.488
400	chr1	23705466	23705965	500	*	0.492
401	chr1	23720660	23721159	500	*	0.432
402	chr1	23762759	23763258	500	*	0.684
403	chr1	23767749	23768248	500	*	0.356
404	chr1	23792864	23793363	500	*	0.518
405	chr1	23826945	23827444	500	*	0.484
406	chr1	23882594	23883093	500	*	0.37
407	chr1	23899566	23900065	500	*	0.38
408	chr1	23902757	23903256	500	*	0.38
409	chr1	23921897	23922396	500	*	0.77
410	chr1	23958831	23959330	500	*	0.508
411	chr1	23966225	23966724	500	*	0.46
412	chr1	23967970	23968469	500	*	0.522
413	chr1	23983077	23983576	500	*	0.368
414	chr1	23997171	23997670	500	*	0.464
415	chr1	24005295	24005794	500	*	0.588
416	chr1	24033888	24034387	500	*	0.39
417	chr1	24045498	24045997	500	*	0.446
418	chr1	24092439	24092938	500	*	0.442
419	chr1	24100029	24100528	500	*	0.728
420	chr1	24102642	24103141	500	*	0.48
421	chr1	24134719	24135218	500	*	0.374
422	chr1	24137082	24137581	500	*	0.456
423	chr1	24171401	24171900	500	*	0.382
424	chr1	24248236	24248735	500	*	0.438
425	chr1	24249173	24249672	500	*	0.408
426	chr1	24302580	24303079	500	*	0.468
427	chr1	24374770	24375269	500	*	0.41
428	chr1	24520583	24521082	500	*	0.44
429	chr1	24553371	24553870	500	*	0.384
430	chr1	24572477	24572976	500	*	0.46
431	chr1	24586834	24587333	500	*	0.542
432	chr1	24611473	24611972	500	*	0.37
433	chr1	24613540	24614039	500	*	0.398
434	chr1	24614345	24614844	500	*	0.338
435	chr1	24615909	24616408	500	*	0.394
436	chr1	24633571	24634070	500	*	0.446
437	chr1	24678451	24678950	500	*	0.702
438	chr1	24680966	24681465	500	*	0.41
439	chr1	24685543	24686042	500	*	0.502
440	chr1	24686215	24686714	500	*	0.328
441	chr1	24699263	24699762	500	*	0.502
442	chr1	24719653	24720152	500	*	0.33
443	chr1	25228544	25229043	500	*	0.5
444	chr1	25510424	25510923	500	*	0.46
445	chr1	26685298	26685797	500	*	0.468
446	chr1	26687347	26687846	500	*	0.448
447	chr1	28053936	28054435	500	*	0.35
448	chr1	30584791	30585290	500	*	0.324
449	chr1	30718433	30718932	500	*	0.394
450	chr1	30792934	30793433	500	*	0.41
451	chr1	30873586	30874085	500	*	0.748
452	chr1	30920973	30921472	500	*	0.4
453	chr1	30929331	30929830	500	*	0.47
454	chr1	30930013	30930512	500	*	0.392
455	chr1	30949484	30949983	500	*	0.71
456	chr1	31153935	31154434	500	*	0.378
457	chr1	31205669	31206168	500	*	0.438
458	chr1	31210230	31210729	500	*	0.352
459	chr1	31380223	31380722	500	*	0.408
460	chr1	31616215	31616714	500	*	0.554
461	chr1	32172426	32172925	500	*	0.684
462	chr1	32746148	32746647	500	*	0.358
463	chr1	33106406	33106905	500	*	0.432
464	chr1	33130253	33130752	500	*	0.43
465	chr1	33281713	33282212	500	*	0.46
466	chr1	33374374	33374873	500	*	0.414
467	chr1	33436209	33436708	500	*	0.504
468	chr1	33447138	33447637	500	*	0.43
469	chr1	33453259	33453758	500	*	0.506
470	chr1	33482002	33482501	500	*	0.46
471	chr1	33496027	33496526	500	*	0.444
472	chr1	33502777	33503276	500	*	0.442
473	chr1	33529489	33529988	500	*	0.496
474	chr1	33531810	33532309	500	*	0.444
475	chr1	33535186	33535685	500	*	0.488
476	chr1	33551385	33551884	500	*	0.544
477	chr1	33563990	33564489	500	*	0.514
478	chr1	33565738	33566237	500	*	0.468
479	chr1	33574354	33574853	500	*	0.432
480	chr1	33578575	33579074	500	*	0.492
481	chr1	33584139	33584638	500	*	0.434
482	chr1	33594021	33594520	500	*	0.476
483	chr1	33595701	33596200	500	*	0.45
484	chr1	33604312	33604811	500	*	0.41
485	chr1	33624858	33625357	500	*	0.458
486	chr1	33627009	33627508	500	*	0.376
487	chr1	33631125	33631624	500	*	0.508
488	chr1	33639158	33639657	500	*	0.504
489	chr1	33647230	33647729	500	*	0.44
490	chr1	33662975	33663474	500	*	0.322
491	chr1	33669718	33670217	500	*	0.57
492	chr1	33672045	33672544	500	*	0.426
493	chr1	33684405	33684904	500	*	0.452
494	chr1	33709599	33710098	500	*	0.458
495	chr1	33718543	33719042	500	*	0.42
496	chr1	33719777	33720276	500	*	0.712
497	chr1	33739095	33739594	500	*	0.486
498	chr1	33742792	33743291	500	*	0.46
499	chr1	33755114	33755613	500	*	0.484
500	chr1	33756228	33756727	500	*	0.432
501	chr1	33757445	33757944	500	*	0.752
502	chr1	33758411	33758910	500	*	0.49
503	chr1	33814160	33814659	500	*	0.732
504	chr1	33883272	33883771	500	*	0.47
505	chr1	33903456	33903955	500	*	0.48
506	chr1	33907848	33908347	500	*	0.774
507	chr1	33916511	33917010	500	*	0.438
508	chr1	33918113	33918612	500	*	0.492
509	chr1	33964600	33965099	500	*	0.47
510	chr1	33966274	33966773	500	*	0.462
511	chr1	33993851	33994350	500	*	0.492
512	chr1	34005680	34006179	500	*	0.506
513	chr1	34011106	34011605	500	*	0.676
514	chr1	34021449	34021948	500	*	0.44
515	chr1	34028628	34029127	500	*	0.456
516	chr1	34060872	34061371	500	*	0.456
517	chr1	34070413	34070912	500	*	0.512
518	chr1	34074899	34075398	500	*	0.478
519	chr1	34131194	34131693	500	*	0.444
520	chr1	34164600	34165099	500	*	0.42
521	chr1	34218201	34218700	500	*	0.47
522	chr1	34236283	34236782	500	*	0.668
523	chr1	34283455	34283954	500	*	0.422
524	chr1	34300473	34300972	500	*	0.484
525	chr1	34389192	34389691	500	*	0.438
526	chr1	34409749	34410248	500	*	0.418
527	chr1	34433054	34433553	500	*	0.518
528	chr1	34433887	34434386	500	*	0.49
529	chr1	34434676	34435175	500	*	0.536
530	chr1	34439405	34439904	500	*	0.556
531	chr1	34459631	34460130	500	*	0.616
532	chr1	34462767	34463266	500	*	0.568
533	chr1	34464364	34464863	500	*	0.468
534	chr1	34465364	34465863	500	*	0.468
535	chr1	34472594	34473093	500	*	0.666
536	chr1	34478965	34479464	500	*	0.462
537	chr1	34480767	34481266	500	*	0.444
538	chr1	34481854	34482353	500	*	0.494
539	chr1	34485638	34486137	500	*	0.548
540	chr1	34489993	34490492	500	*	0.45
541	chr1	34491407	34491906	500	*	0.44
542	chr1	34510590	34511089	500	*	0.572
543	chr1	34536828	34537327	500	*	0.572
544	chr1	34554232	34554731	500	*	0.42
545	chr1	34573130	34573629	500	*	0.502
546	chr1	34579485	34579984	500	*	0.686
547	chr1	34602317	34602816	500	*	0.52
548	chr1	34642398	34642897	500	*	0.498
549	chr1	34682787	34683286	500	*	0.542
550	chr1	34738308	34738807	500	*	0.486
551	chr1	34752810	34753309	500	*	0.274
552	chr1	34801681	34802180	500	*	0.688
553	chr1	34813958	34814457	500	*	0.542
554	chr1	34827913	34828412	500	*	0.482
555	chr1	34838232	34838731	500	*	0.418
556	chr1	34839184	34839683	500	*	0.486
557	chr1	34842677	34843176	500	*	0.79
558	chr1	34849886	34850385	500	*	0.676
559	chr1	34851608	34852107	500	*	0.508
560	chr1	34858643	34859142	500	*	0.554
561	chr1	34866955	34867454	500	*	0.422
562	chr1	34891477	34891976	500	*	0.532
563	chr1	34896850	34897349	500	*	0.406
564	chr1	35227814	35228313	500	*	0.482
565	chr1	35332210	35332709	500	*	0.436
566	chr1	35338163	35338662	500	*	0.432
567	chr1	35385301	35385800	500	*	0.51
568	chr1	35580405	35580904	500	*	0.458
569	chr1	35619483	35619982	500	*	0.484
570	chr1	35640108	35640607	500	*	0.45
571	chr1	35653272	35653771	500	*	0.458
572	chr1	35656344	35656843	500	*	0.422
573	chr1	35685593	35686092	500	*	0.546
574	chr1	35726547	35727046	500	*	0.504
575	chr1	35765618	35766117	500	*	0.48
576	chr1	35810535	35811034	500	*	0.518
577	chr1	35813646	35814145	500	*	0.488
578	chr1	35817326	35817825	500	*	0.472
579	chr1	35822337	35822836	500	*	0.524
580	chr1	35846530	35847029	500	*	0.51
581	chr1	35848126	35848625	500	*	0.494
582	chr1	35860694	35861193	500	*	0.422
583	chr1	35862262	35862761	500	*	0.418
584	chr1	35869494	35869993	500	*	0.504
585	chr1	35890304	35890803	500	*	0.54
586	chr1	35925319	35925818	500	*	0.512
587	chr1	35935013	35935512	500	*	0.488
588	chr1	35950909	35951408	500	*	0.466
589	chr1	35971780	35972279	500	*	0.466
590	chr1	35973253	35973752	500	*	0.506
591	chr1	35975689	35976188	500	*	0.442
592	chr1	35976476	35976975	500	*	0.5
593	chr1	35983214	35983713	500	*	0.412
594	chr1	35995611	35996110	500	*	0.562
595	chr1	36024762	36025261	500	*	0.5
596	chr1	36030182	36030681	500	*	0.564
597	chr1	36052595	36053094	500	*	0.486
598	chr1	36054378	36054877	500	*	0.406
599	chr1	36062029	36062528	500	*	0.526
600	chr1	36064743	36065242	500	*	0.544
601	chr1	36068193	36068692	500	*	0.818
602	chr1	36069355	36069854	500	*	0.588
603	chr1	36071092	36071591	500	*	0.548
604	chr1	36088357	36088856	500	*	0.582
605	chr1	36090757	36091256	500	*	0.556
606	chr1	36095494	36095993	500	*	0.562
607	chr1	36128908	36129407	500	*	0.476
608	chr1	36130271	36130770	500	*	0.498
609	chr1	36131194	36131693	500	*	0.502
610	chr1	36131706	36132205	500	*	0.48
611	chr1	36133633	36134132	500	*	0.454
612	chr1	36134552	36135051	500	*	0.49
613	chr1	36149276	36149775	500	*	0.45
614	chr1	36160265	36160764	500	*	0.562
615	chr1	36162603	36163102	500	*	0.546
616	chr1	36230803	36231302	500	*	0.35
617	chr1	36243935	36244434	500	*	0.67
618	chr1	36252767	36253266	500	*	0.478
619	chr1	36261959	36262458	500	*	0.498
620	chr1	36264036	36264535	500	*	0.462
621	chr1	36270672	36271171	500	*	0.568
622	chr1	36271537	36272036	500	*	0.568
623	chr1	36272469	36272968	500	*	0.558
624	chr1	36273143	36273642	500	*	0.556
625	chr1	36277215	36277714	500	*	0.524
626	chr1	36279088	36279587	500	*	0.478
627	chr1	36281891	36282390	500	*	0.504
628	chr1	36294327	36294826	500	*	0.486
629	chr1	36296544	36297043	500	*	0.474
630	chr1	36307623	36308122	500	*	0.664
631	chr1	36309503	36310002	500	*	0.54
632	chr1	36321722	36322221	500	*	0.518
633	chr1	36323970	36324469	500	*	0.492
634	chr1	36368876	36369375	500	*	0.742
